data Species.n Quarter Year fleet Age observed model residual stand.residual s2
catch 21 1 1997 -9 1  3.145139e+04 2.077586e+05 -1.887934e+00 -2.205607e+00 7.326849e-01
catch 21 1 1997 -9 2  3.804771e+04 1.081935e+05 -1.045080e+00 -1.220931e+00 7.326849e-01
catch 21 1 1997 -9 3  5.817377e+04 6.079956e+04 -4.414802e-02 -5.157659e-02 7.326849e-01
catch 21 1 1997 -9 4  5.932959e+04 3.579305e+04 5.053543e-01 5.903878e-01 7.326849e-01
catch 21 1 1997 -9 5  1.361658e+04 1.378386e+04 -1.220982e-02 -1.426431e-02 7.326849e-01
catch 21 1 1997 -9 6  4.620030e+03 4.258624e+03 8.145509e-02 9.516113e-02 7.326849e-01
catch 21 1 1997 -9 7  1.302610e+03 2.021690e+03 -4.395638e-01 -5.135270e-01 7.326849e-01
catch 21 1 1997 -9 8  6.914590e+03 3.818161e+03 5.938648e-01 6.700755e-01 7.854663e-01
catch 21 1 1998 -9 1  6.193272e+05 3.799150e+04 2.791271e+00 3.260945e+00 7.326849e-01
catch 21 1 1998 -9 2  6.054828e+04 8.835685e+04 -3.779427e-01 -4.415372e-01 7.326849e-01
catch 21 1 1998 -9 3  5.148177e+04 5.471704e+04 -6.094745e-02 -7.120278e-02 7.326849e-01
catch 21 1 1998 -9 4  2.259972e+04 3.945919e+04 -5.573296e-01 -6.511087e-01 7.326849e-01
catch 21 1 1998 -9 5  1.393671e+04 3.128893e+04 -8.087380e-01 -9.448203e-01 7.326849e-01
catch 21 1 1998 -9 6  2.301640e+04 1.327483e+04 5.503375e-01 6.429401e-01 7.326849e-01
catch 21 1 1998 -9 7  3.808000e+03 4.170288e+03 -9.088101e-02 -1.061731e-01 7.326849e-01
catch 21 1 1998 -9 8  8.220000e+03 5.768394e+03 3.541764e-01 3.996280e-01 7.854663e-01
catch 21 1 1999 -9 1  6.790744e+04 2.419708e+04 1.031914e+00 1.205549e+00 7.326849e-01
catch 21 1 1999 -9 2  2.892236e+04 3.838823e+04 -2.831359e-01 -3.307778e-01 7.326849e-01
catch 21 1 1999 -9 3  7.054664e+04 6.201022e+04 1.289748e-01 1.506768e-01 7.326849e-01
catch 21 1 1999 -9 4  4.395513e+04 3.016532e+04 3.764764e-01 4.398243e-01 7.326849e-01
catch 21 1 1999 -9 5  1.788087e+04 2.218024e+04 -2.154706e-01 -2.517267e-01 7.326849e-01
catch 21 1 1999 -9 6  1.081188e+04 1.018846e+04 5.938982e-02 6.938305e-02 7.326849e-01
catch 21 1 1999 -9 7  3.984330e+03 4.390894e+03 -9.716378e-02 -1.135130e-01 7.326849e-01
catch 21 1 1999 -9 8  7.192900e+02 3.314932e+03 -1.527928e+00 -1.724007e+00 7.854663e-01
catch 21 1 2000 -9 1  1.061008e+05 8.636300e+04 2.058303e-01 2.404643e-01 7.326849e-01
catch 21 1 2000 -9 2  2.629483e+04 3.719558e+04 -3.468176e-01 -4.051749e-01 7.326849e-01
catch 21 1 2000 -9 3  2.032716e+04 4.236377e+04 -7.343355e-01 -8.578985e-01 7.326849e-01
catch 21 1 2000 -9 4  5.208538e+04 5.544382e+04 -6.248593e-02 -7.300013e-02 7.326849e-01
catch 21 1 2000 -9 5  1.791962e+04 2.830962e+04 -4.573056e-01 -5.342542e-01 7.326849e-01
catch 21 1 2000 -9 6  4.221930e+03 1.269591e+04 -1.100987e+00 -1.286245e+00 7.326849e-01
catch 21 1 2000 -9 7  1.321690e+03 5.920653e+03 -1.499535e+00 -1.751855e+00 7.326849e-01
catch 21 1 2000 -9 8  5.445300e+02 4.515350e+03 -2.115315e+00 -2.386774e+00 7.854663e-01
catch 21 1 2001 -9 1  2.341106e+05 3.806569e+04 1.816480e+00 2.122131e+00 7.326849e-01
catch 21 1 2001 -9 2  1.276331e+05 9.603091e+04 2.844897e-01 3.323594e-01 7.326849e-01
catch 21 1 2001 -9 3  5.162497e+04 2.989664e+04 5.462592e-01 6.381755e-01 7.326849e-01
catch 21 1 2001 -9 4  3.994379e+04 2.751000e+04 3.729236e-01 4.356736e-01 7.326849e-01
catch 21 1 2001 -9 5  5.320504e+04 3.769429e+04 3.446445e-01 4.026361e-01 7.326849e-01
catch 21 1 2001 -9 6  1.637728e+04 1.166524e+04 3.392812e-01 3.963704e-01 7.326849e-01
catch 21 1 2001 -9 7  4.840820e+03 5.312190e+03 -9.292014e-02 -1.085554e-01 7.326849e-01
catch 21 1 2001 -9 8  1.551830e+03 4.408625e+03 -1.044128e+00 -1.178121e+00 7.854663e-01
catch 21 1 2002 -9 1  1.978819e+05 1.084932e+05 6.009827e-01 7.021071e-01 7.326849e-01
catch 21 1 2002 -9 2  1.780519e+05 5.006991e+04 1.268655e+00 1.482125e+00 7.326849e-01
catch 21 1 2002 -9 3  1.045881e+05 9.424223e+04 1.041615e-01 1.216883e-01 7.326849e-01
catch 21 1 2002 -9 4  2.765643e+04 2.411854e+04 1.368775e-01 1.599092e-01 7.326849e-01
catch 21 1 2002 -9 5  1.216089e+04 2.358936e+04 -6.625706e-01 -7.740581e-01 7.326849e-01
catch 21 1 2002 -9 6  2.219940e+04 2.018572e+04 9.508997e-02 1.110903e-01 7.326849e-01
catch 21 1 2002 -9 7  5.778970e+03 6.343876e+03 -9.326444e-02 -1.089576e-01 7.326849e-01
catch 21 1 2002 -9 8  3.597690e+03 5.346529e+03 -3.961556e-01 -4.469944e-01 7.854663e-01
catch 21 1 2003 -9 1  2.490085e+05 3.983084e+04 1.832845e+00 2.141249e+00 7.326849e-01
catch 21 1 2003 -9 2  9.272733e+04 1.704250e+05 -6.086323e-01 -7.110438e-01 7.326849e-01
catch 21 1 2003 -9 3  5.601047e+04 5.940578e+04 -5.885293e-02 -6.875582e-02 7.326849e-01
catch 21 1 2003 -9 4  1.247518e+05 9.221574e+04 3.021957e-01 3.530447e-01 7.326849e-01
catch 21 1 2003 -9 5  3.551631e+04 2.512561e+04 3.461043e-01 4.043415e-01 7.326849e-01
catch 21 1 2003 -9 6  1.653805e+04 1.545549e+04 6.769949e-02 7.909094e-02 7.326849e-01
catch 21 1 2003 -9 7  2.054850e+04 1.343214e+04 4.251374e-01 4.966731e-01 7.326849e-01
catch 21 1 2003 -9 8  9.947400e+03 7.876858e+03 2.333821e-01 2.633321e-01 7.854663e-01
catch 21 1 2004 -9 1  1.219693e+04 2.598191e+04 -7.562161e-01 -8.834609e-01 7.326849e-01
catch 21 1 2004 -9 2  1.270870e+05 5.783878e+04 7.872128e-01 9.196732e-01 7.326849e-01
catch 21 1 2004 -9 3  1.657475e+05 1.859623e+05 -1.150783e-01 -1.344419e-01 7.326849e-01
catch 21 1 2004 -9 4  8.191440e+04 5.291066e+04 4.370700e-01 5.106136e-01 7.326849e-01
catch 21 1 2004 -9 5  1.046558e+05 8.656994e+04 1.897238e-01 2.216477e-01 7.326849e-01
catch 21 1 2004 -9 6  2.561619e+04 1.462731e+04 5.603344e-01 6.546191e-01 7.326849e-01
catch 21 1 2004 -9 7  1.895847e+04 9.142403e+03 7.293275e-01 8.520478e-01 7.326849e-01
catch 21 1 2004 -9 8  9.004740e+03 1.277568e+04 -3.497925e-01 -3.946815e-01 7.854663e-01
catch 21 1 2005 -9 1  1.298460e+05 4.050534e+04 1.164915e+00 1.360930e+00 7.326849e-01
catch 21 1 2005 -9 2  1.307576e+05 4.319829e+04 1.107544e+00 1.293905e+00 7.326849e-01
catch 21 1 2005 -9 3  7.246320e+04 7.201179e+04 6.249036e-03 7.300531e-03 7.326849e-01
catch 21 1 2005 -9 4  2.291112e+05 1.874064e+05 2.009284e-01 2.347376e-01 7.326849e-01
